"New Report"
"Period: Jan 26 - Feb 1"
Client,Time,Project

,3.47,
Subtotal,3.47,"0 projects"
"Internal Projects"
"Internal - Projects",27.97,"Misc. + Internal Projects"
"Beekman 1802",1.27,"Beekman 1802"
"Internal - Projects",9.53,Symmetry
Beautycounter,0.97,Beautycounter
"Internal - Projects",9.38,"Shopify Partner Fast-Track"
Subtotal,42.10,"5 projects"
Operations
"Internal - Projects",6.53,"Exec + Admin"
"Internal - Projects",7.38,Operations
"Internal - Projects",3.22,"Lead Pipeline"
"Internal - Projects",2.48,"Hiring Pipeline"
Subtotal,19.62,"4 projects"
"Pact Studio Inc."
Studs,33.55,Studs
"ABC Carpet & Home",27.95,"ABC Carpet & Home"
"Hill House Home",8.85,"Hill House Home"
"Beekman 1802",29.08,"Beekman 1802"
"Internal - Projects",2.23,Symmetry
Beautycounter,59.80,Beautycounter
"Rifle Paper Co.",23.98,"Rifle Paper Co. "
Enron,18.37,Enron
"Beekman 1802",8.40,"Beekman Parity Rebuild"
Newco,2.15,Newco
goTenna,7.50,goTenna
Gelmart,0.08,"Gelmart Micro Site"
Subtotal,219.72,"12 projects"
"Professional Development + Reviews"
"Internal - Projects",3.25,"Anderson Nguyen – Professional Development + Reviews"
"Internal - Projects",9.30,"Camille Johns – Professional Development"
"Internal - Projects",10.87,"Kim Persley – Professional Development + Reviews"
"Internal - Projects",2.28,"Benoit Lavoie Lamer – Professional Development + Reviews"
"Internal - Projects",0.30,"Greg Solomon – Professional Development + Reviews"
"Internal - Projects",7.20,"Kendra Davey – Professional Development + Reviews"
"Internal - Projects",1.17,"Carmen Holmes – Professional Development + Reviews"
Subtotal,34.37,"7 projects"
Total,317.03,"25 projects"
